ID;FERMATA;N_ARCHI;DO_Y;DO_X
2;GESSATE;1;45.5461276189735;9.43756370755426
4;ZARA;2;45.4926624575849;9.19270292116584
5;S.DONATO;1;45.4302141607557;9.25632445692474
6;MACIACHINI;2;45.4977705649887;9.1849041635557
8;MOLINO DORINO;2;45.5050785667369;9.09332735020889
10;BISCEGLIE;1;45.4553680725237;9.11289700919969
11;MARELLI;2;45.5244791938931;9.22828208219391
12;SESTO FS;1;45.5416493828473;9.23821260861597
13;FAMAGOSTA;3;45.4372872229925;9.16709612400889
14;;1;45.4299899444119;9.18248675473302
15;RHO FIERA MILANO;1;45.5205753266713;9.08753269477355
17;COLOGNO NORD;1;45.5338544242213;9.29056346906762
18;;1;45.534111162049;9.16108438212444
19;;1;45.398431927133;9.14349725610294
21;LORETO;4;45.4846405760333;9.21519673506395
22;CASCINA ANTONIETTA;2;45.5413246147387;9.41967426501506
23;GORGONZOLA;2;45.5367118436554;9.40235432633296
24;VILLA POMPEA;2;45.5285095770963;9.38705107280396
25;BUSSERO;2;45.5255638059326;9.37660685795176
26;CASSINA DE' PECCHI;2;45.521920053907;9.36311006954796
27;VILLA FIORITA;2;45.5207958550432;9.34595961626408
28;CERNUSCO S.N.;2;45.5211251109595;9.3313657843182
29;CASCINA BURRONA;2;45.5174205082637;9.29782306068744
30;VIMODRONE;2;45.515512030541;9.28504311835455
31;COLOGNO SUD;2;45.5202399048756;9.27464872532488
32;COLOGNO CENTRO;2;45.5265179520238;9.2817538644026
33;GOBBA;3;45.5111054369567;9.2609033395371
35;CRESCENZAGO;2;45.5050094613385;9.24787530731292
36;CIMIANO;2;45.4985806068367;9.23952545884562
37;UDINE;2;45.4910874956291;9.23696487867425
38;LAMBRATE FS;2;45.4845982245647;9.23578413145079
39;PIOLA;2;45.4806862411193;9.22460084313837
40;CAIAZZO;2;45.4853870507659;9.20971948482073
41;CENTRALE FS;4;45.484482332438;9.20263427992719
42;REPUBBLICA;2;45.4787338031321;9.19720834718882
43;TURATI;2;45.4745463302713;9.19479958544861
44;MONTENAPOLEONE;2;45.4700819924358;9.19270789851413
45;DUOMO;4;45.4647577898709;9.18851911261394
47;MISSORI;2;45.4608789059483;9.18844997785697
48;CROCETTA;2;45.4561762808003;9.19578350337181
49;BRENTA;2;45.4426690711384;9.21879997480896
50;CORVETTO;2;45.4408117392238;9.2226790344879
51;PORTO DI MARE;2;45.4373610555213;9.22969068320423
52;ROGOREDO;2;45.4336257002455;9.2382324454209
53;LODI TIBB;2;45.4474329355085;9.21008370872765
54;P.ta ROMANA;2;45.4522412061794;9.20217385499162
55;SONDRIO;2;45.4899720307777;9.20063994923037
56;GIOIA;2;45.4847649904393;9.19532751675556
57;GARIBALDI FS;2;45.4842832621524;9.18889572165078
58;MOSCOVA;2;45.4777107426238;9.18447653283163
59;LANZA;2;45.4717582610551;9.18231919761859
60;CADORNA;4;45.4682041654525;9.17693839611827
62;CONCILIAZIONE;2;45.4676076910693;9.16627022758856
63;PAGANO;3;45.4684993267509;9.15986454670361
64;WAGNER;2;45.4679990002737;9.15555992417535
65;DE ANGELI;2;45.4665190483357;9.14924131356968
66;GAMBARA;2;45.4650678110525;9.14304070299439
67;BANDE NERE;2;45.46211902429;9.13760378187282
68;PRIMATICCIO;2;45.4595599900473;9.12954321508278
69;INGANNI;2;45.4575615718281;9.12190739611701
70;S.LEONARDO;2;45.5013193519625;9.10044430334134
71;BONOLA;2;45.4984384749197;9.10931722067605
72;URUGUAY;2;45.494977920258;9.11798111566672
73;LAMPUGNANO;2;45.4885570822935;9.12707555749745
74;QT8;2;45.485960035425;9.13554391548293
75;LOTTO;2;45.4795929283011;9.14337564825611
76;AMENDOLA-FIERA;2;45.4741755070435;9.15046781420497
77;BUONARROTI;2;45.4706820377809;9.15497922456493
78;ABBIATEGRASSO;2;45.4300147097601;9.17895861050122
79;ASSAGO MILANOFIORI NORD;2;45.4097654815706;9.14990621623449
80;ASSAGO MILANOFIORI FORUM;2;45.4016321163874;9.1452963186844
81;ROMOLO;2;45.4437344195297;9.16772222805755
82;P.ta GENOVA FS;2;45.452979705411;9.17003009738771
83;S.AGOSTINO;2;45.4585852804909;9.16996047945372
84;S.AMBROGIO;2;45.4615578533937;9.17325248104901
85;CORDUSIO;2;45.465573086768;9.18616774186922
86;CAIROLI;2;45.4684290450032;9.18202481726174
87;S.BABILA;2;45.4665114009221;9.19747480589022
88;LIMA;2;45.4802322984737;9.21079496633952
89;P.ta VENEZIA;2;45.4753877510278;9.20596457021488
90;PALESTRO;2;45.4709246998546;9.2013785245431
91;PASTEUR;2;45.4911066779072;9.21820996753363
92;ROVERETO;2;45.4951868295737;9.21941379858939
93;TURRO;2;45.5004235726955;9.22097511729755
94;GORLA;2;45.5068387882695;9.22289983656879
95;PRECOTTO;2;45.5123928195606;9.2245929901411
96;VILLA S.G.;2;45.517823388463;9.22624010605084
97;SESTO RONDO';2;45.5342498238059;9.23135736529796
98;COMASINA;2;45.5315563221275;9.16189843021792
99;AFFORI NORD;2;45.522378819664;9.1679834121397
100;AFFORI CENTRO;2;45.5128803944019;9.17440990073652
101;DERGANO;2;45.5052246624207;9.17970996539898
102;PERO;2;45.5089569864317;9.08569383866175
